Open,High,Low,Volume
0.42388,0.42902,0.41874,1
0.42388,0.42516,0.41366,1
0.42516,0.43668,0.42516,1
0.42902,0.43157,0.41618,1
0.43927,0.44052,0.43927,1
0.44052,0.45589,0.44052,1
0.45718,0.46357,0.45718,1
0.45718,0.46103,0.44052,1
0.44052,0.44566,0.43157,1
0.43286,0.43668,0.43286,1
0.43286,0.44566,0.42388,1
0.42902,0.43157,0.42516,1
0.42388,0.42388,0.41618,1
0.41618,0.4354,0.41111,1
0.41111,0.41366,0.41111,1
0.41111,0.41111,0.39316,1
0.39956,0.39956,0.39186,1
0.39443,0.40853,0.39443,1
0.40081,0.40724,0.40081,1
0.40593,0.40853,0.40593,1
0.40593,0.40593,0.39443,1
0.39699,0.39956,0.39699,1
0.39699,0.39956,0.39316,1
0.39316,0.39316,0.38164,1
0.38164,0.39186,0.37906,1
0.37906,0.38164,0.35985,1
0.38289,0.38674,0.38289,1
0.38289,0.38419,0.38164,1
0.39699,0.39956,0.39699,1
0.40853,0.41111,0.40853,1
0.40853,0.43668,0.40724,1
0.40853,0.41491,0.40593,1
0.41491,0.41874,0.41491,1
0.41874,0.42388,0.41874,1
0.41874,0.41874,0.40339,1
0.40339,0.40339,0.39186,1
0.39443,0.39699,0.39443,1
0.39956,0.40339,0.39956,1
0.39956,0.40339,0.39699,1
0.39956,0.40339,0.39956,1
0.39956,0.40081,0.39443,1
0.39699,0.40593,0.39443,1
0.41874,0.42134,0.41874,1
0.41874,0.42134,0.41111,1
0.41111,0.41111,0.39443,1
0.39443,0.39699,0.36754,1
0.38419,0.38674,0.38419,1
0.38419,0.39316,0.37522,1
0.37906,0.38289,0.37906,1
0.37906,0.38289,0.37906,1
0.37906,0.38419,0.36883,1
0.37138,0.37394,0.34962,1
0.36112,0.36241,0.36112,1
0.36883,0.37138,0.36883,1
0.37394,0.38419,0.37394,1
0.38289,0.38289,0.38289,1
0.39316,0.39699,0.39316,1
0.41366,0.42388,0.41366,1
0.41366,0.41366,0.40593,1
0.40593,0.40853,0.39316,1
0.39443,0.39699,0.38932,1
0.39699,0.40593,0.39699,1
0.41618,0.41618,0.41618,1
0.43668,0.43927,0.43668,1
0.43668,0.45335,0.43286,1
0.4354,0.4354,0.42646,1
0.42646,0.43286,0.42134,1
0.42134,0.42134,0.40724,1
0.41111,0.41874,0.41111,1
0.41111,0.42516,0.41111,1
0.43157,0.4354,0.43157,1
0.45718,0.45845,0.45718,1
0.45718,0.45845,0.43927,1
0.43927,0.44694,0.43668,1
0.43668,0.43927,0.42646,1
0.43927,0.44052,0.43927,1
0.44052,0.44566,0.44052,1
0.44309,0.44566,0.44309,1
0.44309,0.46103,0.44052,1
0.46487,0.46742,0.46487,1
0.46487,0.46487,0.44566,1
0.45335,0.46487,0.45335,1
0.45335,0.45589,0.44694,1
0.45335,0.45589,0.45081,1
0.45081,0.45589,0.44694,1
0.45845,0.46487,0.45845,1
0.47898,0.48027,0.47898,1
0.47898,0.48291,0.46998,1
0.48791,0.49298,0.48791,1
0.48791,0.49685,0.47898,1
0.48291,0.49056,0.48291,1
0.48291,0.49056,0.44821,1
0.44821,0.46742,0.44694,1
0.46742,0.46998,0.46742,1
0.48027,0.48291,0.48027,1
0.48027,0.48291,0.47251,1
0.47251,0.47251,0.46357,1
0.46357,0.47251,0.45335,1
0.48291,0.48791,0.48291,1
0.48291,0.48671,0.47763,1
0.47763,0.48671,0.47763,1
0.47763,0.47898,0.46357,1
0.46357,0.46487,0.45335,1
0.46742,0.46872,0.46742,1
0.46998,0.47898,0.46998,1
0.47898,0.47898,0.47898,1
0.47898,0.48535,0.47763,1
0.47763,0.47898,0.46998,1
0.48671,0.49056,0.48671,1
0.48671,0.48791,0.47512,1
0.47512,0.47512,0.45335,1
0.45335,0.45718,0.44052,1
0.44052,0.44821,0.43668,1
0.44566,0.44566,0.44052,1
0.44052,0.44309,0.42134,1
0.42902,0.43157,0.42902,1
0.42902,0.44566,0.42902,1
0.44052,0.44309,0.4354,1
0.4354,0.43668,0.42646,1
0.42646,0.42646,0.40081,1
0.40081,0.40081,0.39443,1
0.39443,0.39699,0.38289,1
0.40339,0.41491,0.40339,1
0.41366,0.41366,0.41366,1
0.41366,0.41366,0.39316,1
0.39316,0.39443,0.35344,1
0.35344,0.35344,0.33041,1
0.35473,0.3573,0.35473,1
0.36754,0.37138,0.36754,1
0.36754,0.36754,0.34702,1
0.34702,0.34962,0.34702,1
0.34702,0.36883,0.34448,1
0.36496,0.36883,0.36496,1
0.36496,0.36883,0.35089,1
0.35473,0.36112,0.35473,1
0.36112,0.36754,0.36112,1
0.36112,0.36754,0.35473,1
0.35473,0.35473,0.34448,1
0.35985,0.35985,0.35985,1
0.35985,0.36241,0.34962,1
0.34962,0.35473,0.34962,1
0.34962,0.35473,0.34962,1
0.35344,0.36112,0.34448,1
0.34448,0.34702,0.33551,1
0.33551,0.33681,0.33551,1
0.33551,0.33681,0.32911,1
0.33297,0.33551,0.31249,1
0.31249,0.31507,0.31249,1
0.33551,0.33938,0.33551,1
0.34192,0.35089,0.34192,1
0.34192,0.34192,0.33041,1
0.34192,0.34448,0.34192,1
0.34448,0.34702,0.34448,1
0.36112,0.36496,0.36112,1
0.36496,0.36754,0.36496,1
0.36496,0.36496,0.3573,1
0.35985,0.35985,0.34448,1
0.35344,0.35473,0.35344,1
0.35344,0.35985,0.35089,1
0.35089,0.35344,0.35089,1
0.35089,0.36112,0.34962,1
0.34962,0.35089,0.33681,1
0.33938,0.34192,0.33938,1
0.33938,0.34192,0.33297,1
0.32911,0.32911,0.30733,1
0.30733,0.32142,0.30733,1
0.32018,0.32272,0.31507,1
0.32018,0.32018,0.32018,1
0.3176,0.3176,0.3176,1
0.32018,0.32142,0.32018,1
0.32018,0.32785,0.32018,1
0.32272,0.32525,0.32018,1
0.32018,0.32142,0.31507,1
0.32018,0.32525,0.32018,1
0.34192,0.35089,0.34192,1
0.34192,0.35344,0.33938,1
0.34702,0.35473,0.34192,1
0.33938,0.33938,0.33041,1
0.33041,0.33297,0.32911,1
0.32785,0.32785,0.31507,1
0.31507,0.31507,0.28941,1
0.28556,0.28556,0.26891,1
0.27279,0.27535,0.27279,1
0.28046,0.28556,0.28046,1
0.28046,0.28814,0.27786,1
0.27148,0.27148,0.2561,1
0.27535,0.27786,0.27535,1
0.27535,0.28299,0.26891,1
0.27148,0.27148,0.27148,1
0.27148,0.27148,0.26126,1
0.26126,0.26381,0.25742,1
0.25742,0.26381,0.25742,1
0.25742,0.2587,0.25228,1
0.25228,0.25355,0.2369,1
0.2369,0.25228,0.23564,1
0.2369,0.23949,0.2369,1
0.24333,0.24715,0.24333,1
0.24975,0.25355,0.24975,1
0.25228,0.25228,0.25228,1
0.25742,0.26381,0.25742,1
0.27535,0.2792,0.27535,1
0.2792,0.28556,0.2792,1
0.28941,0.28941,0.28941,1
0.29328,0.2958,0.29328,1
0.29328,0.2958,0.28814,1
0.28941,0.2907,0.28941,1
0.28941,0.2907,0.27535,1
0.2792,0.2792,0.2792,1
0.28046,0.28299,0.28046,1
0.28046,0.28299,0.28046,1
0.28046,0.28299,0.28046,1
0.28814,0.28814,0.28814,1
0.28814,0.28941,0.28814,1
0.28814,0.28814,0.28556,1
0.28556,0.2907,0.28299,1
0.28299,0.28556,0.2792,1
0.28046,0.28556,0.28046,1
0.28046,0.28046,0.27535,1
0.27786,0.27786,0.27786,1
0.27786,0.27786,0.26891,1
0.26891,0.27279,0.26381,1
0.26381,0.26768,0.2587,1
0.26509,0.26768,0.26509,1
0.26509,0.26768,0.26509,1
0.26509,0.26509,0.2561,1
0.2587,0.26126,0.2587,1
0.2587,0.26126,0.25355,1
0.25355,0.25742,0.25355,1
0.25355,0.25355,0.25228,1
0.25228,0.25355,0.24588,1
0.24588,0.25228,0.24333,1
0.24333,0.2561,0.2369,1
0.24202,0.24333,0.24202,1
0.24333,0.24333,0.24333,1
0.24333,0.24333,0.23949,1
0.24333,0.24715,0.24333,1
0.24333,0.24333,0.23305,1
0.23305,0.23564,0.23051,1
0.23305,0.2369,0.23305,1
0.23949,0.24333,0.23949,1
0.24333,0.24333,0.24333,1
0.24333,0.24333,0.24333,1
0.24333,0.24333,0.2369,1
0.2369,0.23949,0.23564,1
0.24202,0.24202,0.24202,1
0.24333,0.24333,0.24333,1
0.24333,0.24588,0.24333,1
0.24333,0.24333,0.2369,1
0.23949,0.23949,0.23949,1
0.23949,0.23949,0.23564,1
0.2369,0.24202,0.2369,1
0.2369,0.23949,0.2369,1
0.23949,0.23949,0.23949,1
0.24333,0.24588,0.24333,1
0.24588,0.24975,0.24588,1
0.24715,0.24975,0.24715,1
0.25742,0.25742,0.25742,1
0.25742,0.25742,0.25228,1
0.25228,0.25228,0.24333,1
0.24333,0.24333,0.24333,1
0.2587,0.2587,0.2587,1
0.27148,0.27148,0.27148,1
0.27148,0.27279,0.26768,1
0.26891,0.27279,0.26891,1
0.26891,0.27535,0.26381,1
0.26381,0.26381,0.25355,1
0.25355,0.2561,0.25355,1
0.25355,0.2561,0.25355,1
0.25355,0.2561,0.25228,1
0.25228,0.25355,0.25228,1
0.25228,0.25355,0.24975,1
0.24975,0.24975,0.24715,1
0.24715,0.24715,0.23949,1
0.23949,0.24333,0.23949,1
0.24202,0.24202,0.24202,1
0.24202,0.24333,0.23949,1
0.25355,0.2561,0.25355,1
0.2561,0.2587,0.2561,1
0.26509,0.26509,0.26509,1
0.27148,0.27279,0.27148,1
0.28814,0.28941,0.28814,1
0.2907,0.30475,0.2907,1
0.2907,0.29328,0.28299,1
0.28299,0.28299,0.27535,1
0.28814,0.2907,0.28814,1
0.28814,0.2958,0.28814,1
0.29328,0.30095,0.29328,1
0.29328,0.29328,0.28814,1
0.28814,0.28941,0.28814,1
0.28814,0.28814,0.28556,1
0.30351,0.30351,0.30351,1
0.30351,0.30733,0.29712,1
0.29712,0.30351,0.29712,1
0.29838,0.30475,0.29838,1
0.29838,0.30475,0.29712,1
0.30733,0.3099,0.30733,1
0.31249,0.3176,0.31249,1
0.32785,0.33041,0.32785,1
0.32785,0.33041,0.32018,1
0.32018,0.32272,0.3176,1
0.3176,0.3176,0.3099,1
0.32018,0.32142,0.32018,1
0.32018,0.32272,0.3176,1
0.3176,0.32018,0.3176,1
0.3176,0.32018,0.30733,1
0.30733,0.3099,0.30351,1
0.30351,0.30733,0.30351,1
0.30351,0.30733,0.30095,1
0.30351,0.30733,0.30351,1
0.30475,0.3112,0.30351,1
0.3099,0.32142,0.30733,1
0.32018,0.32142,0.3176,1
0.32142,0.32272,0.32018,1
0.32272,0.32525,0.32018,1
0.32142,0.32911,0.32142,1
0.32785,0.33041,0.32018,1
0.32142,0.32142,0.31249,1
0.31507,0.32018,0.30733,1
0.3099,0.31249,0.30733,1
0.3112,0.32142,0.3112,1
0.3176,0.32272,0.3176,1
0.32018,0.32272,0.31507,1
0.32018,0.33938,0.32018,1
0.33297,0.33551,0.32525,1
0.34192,0.36496,0.34192,1
0.35473,0.36241,0.35344,1
0.35985,0.36241,0.35473,1
0.3573,0.35985,0.34448,1
0.34962,0.35089,0.34448,1
0.34702,0.35089,0.34448,1
0.34702,0.36112,0.34702,1
0.3573,0.36112,0.35344,1
0.35473,0.3573,0.35089,1
0.35089,0.35473,0.34702,1
0.35473,0.3573,0.35344,1
0.3573,0.3573,0.34962,1
0.35473,0.36754,0.35344,1
0.36754,0.37522,0.36241,1
0.36496,0.36754,0.34962,1
0.36112,0.36883,0.36112,1
0.36241,0.36883,0.35985,1
0.36754,0.37906,0.35985,1
0.37138,0.38289,0.36883,1
0.38164,0.39443,0.38164,1
0.39186,0.39443,0.38164,1
0.38289,0.38289,0.37394,1
0.38164,0.38419,0.37906,1
0.38289,0.38419,0.3573,1
0.37394,0.37522,0.36241,1
0.36754,0.37394,0.36112,1
0.36112,0.36241,0.35089,1
0.35344,0.3573,0.35089,1
