Open,High,Low,Volume,Close,Date,Stock,OpenInt
0.42388,0.42902,0.41874,1,0.42388,07-09-1984,AAPL,0
0.42388,0.42516,0.41366,1,0.42134,10-09-1984,AAPL,0
0.42516,0.43668,0.42516,1,0.42902,11-09-1984,AAPL,0
0.42902,0.43157,0.41618,1,0.41618,12-09-1984,AAPL,0
0.43927,0.44052,0.43927,1,0.43927,13-09-1984,AAPL,0
0.44052,0.45589,0.44052,1,0.44566,14-09-1984,AAPL,0
0.45718,0.46357,0.45718,1,0.45718,17-09-1984,AAPL,0
0.45718,0.46103,0.44052,1,0.44052,18-09-1984,AAPL,0
0.44052,0.44566,0.43157,1,0.43157,19-09-1984,AAPL,0
0.43286,0.43668,0.43286,1,0.43286,20-09-1984,AAPL,0
0.43286,0.44566,0.42388,1,0.42902,21-09-1984,AAPL,0
0.42902,0.43157,0.42516,1,0.42516,24-09-1984,AAPL,0
0.42388,0.42388,0.41618,1,0.41618,25-09-1984,AAPL,0
0.41618,0.4354,0.41111,1,0.41111,26-09-1984,AAPL,0
0.41111,0.41366,0.41111,1,0.41111,27-09-1984,AAPL,0
0.41111,0.41111,0.39316,1,0.40081,28-09-1984,AAPL,0
0.39956,0.39956,0.39186,1,0.39186,01-10-1984,AAPL,0
0.39443,0.40853,0.39443,1,0.39443,02-10-1984,AAPL,0
0.40081,0.40724,0.40081,1,0.40081,03-10-1984,AAPL,0
0.40593,0.40853,0.40593,1,0.40593,04-10-1984,AAPL,0
0.40593,0.40593,0.39443,1,0.39699,05-10-1984,AAPL,0
0.39699,0.39956,0.39699,1,0.39699,08-10-1984,AAPL,0
0.39699,0.39956,0.39316,1,0.39316,09-10-1984,AAPL,0
0.39316,0.39316,0.38164,1,0.38164,10-10-1984,AAPL,0
0.38164,0.39186,0.37906,1,0.37906,11-10-1984,AAPL,0
0.37906,0.38164,0.35985,1,0.36241,12-10-1984,AAPL,0
0.38289,0.38674,0.38289,1,0.38289,15-10-1984,AAPL,0
0.38289,0.38419,0.38164,1,0.38164,16-10-1984,AAPL,0
0.39699,0.39956,0.39699,1,0.39699,17-10-1984,AAPL,0
0.40853,0.41111,0.40853,1,0.40853,18-10-1984,AAPL,0
0.40853,0.43668,0.40724,1,0.40853,19-10-1984,AAPL,0
0.40853,0.41491,0.40593,1,0.40593,22-10-1984,AAPL,0
0.41491,0.41874,0.41491,1,0.41491,23-10-1984,AAPL,0
0.41874,0.42388,0.41874,1,0.41874,24-10-1984,AAPL,0
0.41874,0.41874,0.40339,1,0.40339,25-10-1984,AAPL,0
0.40339,0.40339,0.39186,1,0.39316,26-10-1984,AAPL,0
0.39443,0.39699,0.39443,1,0.39443,29-10-1984,AAPL,0
0.39956,0.40339,0.39956,1,0.39956,30-10-1984,AAPL,0
0.39956,0.40339,0.39699,1,0.39699,31-10-1984,AAPL,0
0.39956,0.40339,0.39956,1,0.39956,01-11-1984,AAPL,0
0.39956,0.40081,0.39443,1,0.39699,02-11-1984,AAPL,0
0.39699,0.40593,0.39443,1,0.39443,05-11-1984,AAPL,0
0.41874,0.42134,0.41874,1,0.41874,06-11-1984,AAPL,0
0.41874,0.42134,0.41111,1,0.41111,07-11-1984,AAPL,0
0.41111,0.41111,0.39443,1,0.39443,08-11-1984,AAPL,0
0.39443,0.39699,0.36754,1,0.37138,09-11-1984,AAPL,0
0.38419,0.38674,0.38419,1,0.38419,12-11-1984,AAPL,0
0.38419,0.39316,0.37522,1,0.37522,13-11-1984,AAPL,0
0.37906,0.38289,0.37906,1,0.37906,14-11-1984,AAPL,0
0.37906,0.38289,0.37906,1,0.37906,15-11-1984,AAPL,0
0.37906,0.38419,0.36883,1,0.37138,16-11-1984,AAPL,0
0.37138,0.37394,0.34962,1,0.34962,19-11-1984,AAPL,0
0.36112,0.36241,0.36112,1,0.36112,20-11-1984,AAPL,0
0.36883,0.37138,0.36883,1,0.36883,21-11-1984,AAPL,0
0.37394,0.38419,0.37394,1,0.37906,23-11-1984,AAPL,0
0.38289,0.38289,0.38289,1,0.38289,26-11-1984,AAPL,0
0.39316,0.39699,0.39316,1,0.39316,27-11-1984,AAPL,0
0.41366,0.42388,0.41366,1,0.41366,28-11-1984,AAPL,0
0.41366,0.41366,0.40593,1,0.40593,29-11-1984,AAPL,0
0.40593,0.40853,0.39316,1,0.39443,30-11-1984,AAPL,0
0.39443,0.39699,0.38932,1,0.38932,03-12-1984,AAPL,0
0.39699,0.40593,0.39699,1,0.39699,04-12-1984,AAPL,0
0.41618,0.41618,0.41618,1,0.41618,05-12-1984,AAPL,0
0.43668,0.43927,0.43668,1,0.43668,06-12-1984,AAPL,0
0.43668,0.45335,0.43286,1,0.4354,07-12-1984,AAPL,0
0.4354,0.4354,0.42646,1,0.42646,10-12-1984,AAPL,0
0.42646,0.43286,0.42134,1,0.42134,11-12-1984,AAPL,0
0.42134,0.42134,0.40724,1,0.40724,12-12-1984,AAPL,0
0.41111,0.41874,0.41111,1,0.41111,13-12-1984,AAPL,0
0.41111,0.42516,0.41111,1,0.42134,14-12-1984,AAPL,0
0.43157,0.4354,0.43157,1,0.43157,17-12-1984,AAPL,0
0.45718,0.45845,0.45718,1,0.45718,18-12-1984,AAPL,0
0.45718,0.45845,0.43927,1,0.43927,19-12-1984,AAPL,0
0.43927,0.44694,0.43668,1,0.43668,20-12-1984,AAPL,0
0.43668,0.43927,0.42646,1,0.43157,21-12-1984,AAPL,0
0.43927,0.44052,0.43927,1,0.43927,24-12-1984,AAPL,0
0.44052,0.44566,0.44052,1,0.44052,26-12-1984,AAPL,0
0.44309,0.44566,0.44309,1,0.44309,27-12-1984,AAPL,0
0.44309,0.46103,0.44052,1,0.45845,28-12-1984,AAPL,0
0.46487,0.46742,0.46487,1,0.46487,31-12-1984,AAPL,0
0.46487,0.46487,0.44566,1,0.44566,02-01-1985,AAPL,0
0.45335,0.46487,0.45335,1,0.45335,03-01-1985,AAPL,0
0.45335,0.45589,0.44694,1,0.45335,04-01-1985,AAPL,0
0.45335,0.45589,0.45081,1,0.45081,07-01-1985,AAPL,0
0.45081,0.45589,0.44694,1,0.44694,08-01-1985,AAPL,0
0.45845,0.46487,0.45845,1,0.45845,09-01-1985,AAPL,0
0.47898,0.48027,0.47898,1,0.47898,10-01-1985,AAPL,0
0.47898,0.48291,0.46998,1,0.47512,11-01-1985,AAPL,0
0.48791,0.49298,0.48791,1,0.48791,14-01-1985,AAPL,0
0.48791,0.49685,0.47898,1,0.47898,15-01-1985,AAPL,0
0.48291,0.49056,0.48291,1,0.48291,16-01-1985,AAPL,0
0.48291,0.49056,0.44821,1,0.44821,17-01-1985,AAPL,0
0.44821,0.46742,0.44694,1,0.45718,18-01-1985,AAPL,0
0.46742,0.46998,0.46742,1,0.46742,21-01-1985,AAPL,0
0.48027,0.48291,0.48027,1,0.48027,22-01-1985,AAPL,0
0.48027,0.48291,0.47251,1,0.47251,23-01-1985,AAPL,0
0.47251,0.47251,0.46357,1,0.46357,24-01-1985,AAPL,0
0.46357,0.47251,0.45335,1,0.47251,25-01-1985,AAPL,0
0.48291,0.48791,0.48291,1,0.48291,28-01-1985,AAPL,0
0.48291,0.48671,0.47763,1,0.47763,29-01-1985,AAPL,0
0.47763,0.48671,0.47763,1,0.47763,30-01-1985,AAPL,0
0.47763,0.47898,0.46357,1,0.46357,31-01-1985,AAPL,0
0.46357,0.46487,0.45335,1,0.45718,01-02-1985,AAPL,0
0.46742,0.46872,0.46742,1,0.46742,04-02-1985,AAPL,0
0.46998,0.47898,0.46998,1,0.46998,05-02-1985,AAPL,0
0.47898,0.47898,0.47898,1,0.47898,06-02-1985,AAPL,0
0.47898,0.48535,0.47763,1,0.47763,07-02-1985,AAPL,0
0.47763,0.47898,0.46998,1,0.47763,08-02-1985,AAPL,0
0.48671,0.49056,0.48671,1,0.48671,11-02-1985,AAPL,0
0.48671,0.48791,0.47512,1,0.47512,12-02-1985,AAPL,0
0.47512,0.47512,0.45335,1,0.45335,13-02-1985,AAPL,0
0.45335,0.45718,0.44052,1,0.44052,14-02-1985,AAPL,0
0.44052,0.44821,0.43668,1,0.44694,15-02-1985,AAPL,0
0.44566,0.44566,0.44052,1,0.44052,19-02-1985,AAPL,0
0.44052,0.44309,0.42134,1,0.42134,20-02-1985,AAPL,0
0.42902,0.43157,0.42902,1,0.42902,21-02-1985,AAPL,0
0.42902,0.44566,0.42902,1,0.44052,22-02-1985,AAPL,0
0.44052,0.44309,0.4354,1,0.4354,25-02-1985,AAPL,0
0.4354,0.43668,0.42646,1,0.42646,26-02-1985,AAPL,0
0.42646,0.42646,0.40081,1,0.40081,27-02-1985,AAPL,0
0.40081,0.40081,0.39443,1,0.39443,28-02-1985,AAPL,0
0.39443,0.39699,0.38289,1,0.39699,01-03-1985,AAPL,0
0.40339,0.41491,0.40339,1,0.40339,04-03-1985,AAPL,0
0.41366,0.41366,0.41366,1,0.41366,05-03-1985,AAPL,0
0.41366,0.41366,0.39316,1,0.39316,06-03-1985,AAPL,0
0.39316,0.39443,0.35344,1,0.35344,07-03-1985,AAPL,0
0.35344,0.35344,0.33041,1,0.34319,08-03-1985,AAPL,0
0.35473,0.3573,0.35473,1,0.35473,11-03-1985,AAPL,0
0.36754,0.37138,0.36754,1,0.36754,12-03-1985,AAPL,0
0.36754,0.36754,0.34702,1,0.34702,13-03-1985,AAPL,0
0.34702,0.34962,0.34702,1,0.34702,14-03-1985,AAPL,0
0.34702,0.36883,0.34448,1,0.36112,15-03-1985,AAPL,0
0.36496,0.36883,0.36496,1,0.36496,18-03-1985,AAPL,0
0.36496,0.36883,0.35089,1,0.35089,19-03-1985,AAPL,0
0.35473,0.36112,0.35473,1,0.35473,20-03-1985,AAPL,0
0.36112,0.36754,0.36112,1,0.36112,21-03-1985,AAPL,0
0.36112,0.36754,0.35473,1,0.35473,22-03-1985,AAPL,0
0.35473,0.35473,0.34448,1,0.34448,25-03-1985,AAPL,0
0.35985,0.35985,0.35985,1,0.35985,26-03-1985,AAPL,0
0.35985,0.36241,0.34962,1,0.34962,27-03-1985,AAPL,0
0.34962,0.35473,0.34962,1,0.34962,28-03-1985,AAPL,0
0.34962,0.35473,0.34962,1,0.35344,29-03-1985,AAPL,0
0.35344,0.36112,0.34448,1,0.34448,01-04-1985,AAPL,0
0.34448,0.34702,0.33551,1,0.33551,02-04-1985,AAPL,0
0.33551,0.33681,0.33551,1,0.33551,03-04-1985,AAPL,0
0.33551,0.33681,0.32911,1,0.33297,04-04-1985,AAPL,0
0.33297,0.33551,0.31249,1,0.31249,08-04-1985,AAPL,0
0.31249,0.31507,0.31249,1,0.31249,09-04-1985,AAPL,0
0.33551,0.33938,0.33551,1,0.33551,10-04-1985,AAPL,0
0.34192,0.35089,0.34192,1,0.34192,11-04-1985,AAPL,0
0.34192,0.34192,0.33041,1,0.33297,12-04-1985,AAPL,0
0.34192,0.34448,0.34192,1,0.34192,15-04-1985,AAPL,0
0.34448,0.34702,0.34448,1,0.34448,16-04-1985,AAPL,0
0.36112,0.36496,0.36112,1,0.36112,17-04-1985,AAPL,0
0.36496,0.36754,0.36496,1,0.36496,18-04-1985,AAPL,0
0.36496,0.36496,0.3573,1,0.35985,19-04-1985,AAPL,0
0.35985,0.35985,0.34448,1,0.34448,22-04-1985,AAPL,0
0.35344,0.35473,0.35344,1,0.35344,23-04-1985,AAPL,0
0.35344,0.35985,0.35089,1,0.35089,24-04-1985,AAPL,0
0.35089,0.35344,0.35089,1,0.35089,25-04-1985,AAPL,0
0.35089,0.36112,0.34962,1,0.34962,26-04-1985,AAPL,0
0.34962,0.35089,0.33681,1,0.33681,29-04-1985,AAPL,0
0.33938,0.34192,0.33938,1,0.33938,30-04-1985,AAPL,0
0.33938,0.34192,0.33297,1,0.33297,01-05-1985,AAPL,0
0.32911,0.32911,0.30733,1,0.30733,02-05-1985,AAPL,0
0.30733,0.32142,0.30733,1,0.32018,03-05-1985,AAPL,0
0.32018,0.32272,0.31507,1,0.31507,06-05-1985,AAPL,0
0.32018,0.32018,0.32018,1,0.32018,07-05-1985,AAPL,0
0.3176,0.3176,0.3176,1,0.3176,08-05-1985,AAPL,0
0.32018,0.32142,0.32018,1,0.32018,09-05-1985,AAPL,0
0.32018,0.32785,0.32018,1,0.32272,10-05-1985,AAPL,0
0.32272,0.32525,0.32018,1,0.32018,13-05-1985,AAPL,0
0.32018,0.32142,0.31507,1,0.31507,14-05-1985,AAPL,0
0.32018,0.32525,0.32018,1,0.32018,15-05-1985,AAPL,0
0.34192,0.35089,0.34192,1,0.34192,16-05-1985,AAPL,0
0.34192,0.35344,0.33938,1,0.34702,17-05-1985,AAPL,0
0.34702,0.35473,0.34192,1,0.34192,20-05-1985,AAPL,0
0.33938,0.33938,0.33041,1,0.33041,21-05-1985,AAPL,0
0.33041,0.33297,0.32911,1,0.32911,22-05-1985,AAPL,0
0.32785,0.32785,0.31507,1,0.31507,23-05-1985,AAPL,0
0.31507,0.31507,0.28941,1,0.28941,24-05-1985,AAPL,0
0.28556,0.28556,0.26891,1,0.26891,28-05-1985,AAPL,0
0.27279,0.27535,0.27279,1,0.27279,29-05-1985,AAPL,0
0.28046,0.28556,0.28046,1,0.28046,30-05-1985,AAPL,0
0.28046,0.28814,0.27786,1,0.27786,31-05-1985,AAPL,0
0.27148,0.27148,0.2561,1,0.2561,03-06-1985,AAPL,0
0.27535,0.27786,0.27535,1,0.27535,04-06-1985,AAPL,0
0.27535,0.28299,0.26891,1,0.26891,05-06-1985,AAPL,0
0.27148,0.27148,0.27148,1,0.27148,06-06-1985,AAPL,0
0.27148,0.27148,0.26126,1,0.26126,07-06-1985,AAPL,0
0.26126,0.26381,0.25742,1,0.25742,10-06-1985,AAPL,0
0.25742,0.26381,0.25742,1,0.25742,11-06-1985,AAPL,0
0.25742,0.2587,0.25228,1,0.25228,12-06-1985,AAPL,0
0.25228,0.25355,0.2369,1,0.2369,13-06-1985,AAPL,0
0.2369,0.25228,0.23564,1,0.23564,14-06-1985,AAPL,0
0.2369,0.23949,0.2369,1,0.2369,17-06-1985,AAPL,0
0.24333,0.24715,0.24333,1,0.24333,18-06-1985,AAPL,0
0.24975,0.25355,0.24975,1,0.24975,19-06-1985,AAPL,0
0.25228,0.25228,0.25228,1,0.25228,20-06-1985,AAPL,0
0.25742,0.26381,0.25742,1,0.25742,21-06-1985,AAPL,0
0.27535,0.2792,0.27535,1,0.27535,24-06-1985,AAPL,0
0.2792,0.28556,0.2792,1,0.2792,25-06-1985,AAPL,0
0.28941,0.28941,0.28941,1,0.28941,26-06-1985,AAPL,0
0.29328,0.2958,0.29328,1,0.29328,27-06-1985,AAPL,0
0.29328,0.2958,0.28814,1,0.28814,28-06-1985,AAPL,0
0.28941,0.2907,0.28941,1,0.28941,01-07-1985,AAPL,0
0.28941,0.2907,0.27535,1,0.27535,02-07-1985,AAPL,0
0.2792,0.2792,0.2792,1,0.2792,03-07-1985,AAPL,0
0.28046,0.28299,0.28046,1,0.28046,05-07-1985,AAPL,0
0.28046,0.28299,0.28046,1,0.28046,08-07-1985,AAPL,0
0.28046,0.28299,0.28046,1,0.28046,09-07-1985,AAPL,0
0.28814,0.28814,0.28814,1,0.28814,10-07-1985,AAPL,0
0.28814,0.28941,0.28814,1,0.28814,11-07-1985,AAPL,0
0.28814,0.28814,0.28556,1,0.28556,12-07-1985,AAPL,0
0.28556,0.2907,0.28299,1,0.28299,15-07-1985,AAPL,0
0.28299,0.28556,0.2792,1,0.2792,16-07-1985,AAPL,0
0.28046,0.28556,0.28046,1,0.28046,17-07-1985,AAPL,0
0.28046,0.28046,0.27535,1,0.27535,18-07-1985,AAPL,0
0.27786,0.27786,0.27786,1,0.27786,19-07-1985,AAPL,0
0.27786,0.27786,0.26891,1,0.26891,22-07-1985,AAPL,0
0.26891,0.27279,0.26381,1,0.26381,23-07-1985,AAPL,0
0.26381,0.26768,0.2587,1,0.2587,24-07-1985,AAPL,0
0.26509,0.26768,0.26509,1,0.26509,25-07-1985,AAPL,0
0.26509,0.26768,0.26509,1,0.26509,26-07-1985,AAPL,0
0.26509,0.26509,0.2561,1,0.2561,29-07-1985,AAPL,0
0.2587,0.26126,0.2587,1,0.2587,30-07-1985,AAPL,0
0.2587,0.26126,0.25355,1,0.25355,31-07-1985,AAPL,0
0.25355,0.25742,0.25355,1,0.25355,01-08-1985,AAPL,0
0.25355,0.25355,0.25228,1,0.25228,02-08-1985,AAPL,0
0.25228,0.25355,0.24588,1,0.24588,05-08-1985,AAPL,0
0.24588,0.25228,0.24333,1,0.24333,06-08-1985,AAPL,0
0.24333,0.2561,0.2369,1,0.2369,07-08-1985,AAPL,0
0.24202,0.24333,0.24202,1,0.24202,08-08-1985,AAPL,0
0.24333,0.24333,0.24333,1,0.24333,09-08-1985,AAPL,0
0.24333,0.24333,0.23949,1,0.23949,12-08-1985,AAPL,0
0.24333,0.24715,0.24333,1,0.24333,13-08-1985,AAPL,0
0.24333,0.24333,0.23305,1,0.23305,14-08-1985,AAPL,0
0.23305,0.23564,0.23051,1,0.23051,15-08-1985,AAPL,0
0.23305,0.2369,0.23305,1,0.23305,16-08-1985,AAPL,0
0.23949,0.24333,0.23949,1,0.23949,19-08-1985,AAPL,0
0.24333,0.24333,0.24333,1,0.24333,20-08-1985,AAPL,0
0.24333,0.24333,0.24333,1,0.24333,21-08-1985,AAPL,0
0.24333,0.24333,0.2369,1,0.2369,22-08-1985,AAPL,0
0.2369,0.23949,0.23564,1,0.23564,23-08-1985,AAPL,0
0.24202,0.24202,0.24202,1,0.24202,26-08-1985,AAPL,0
0.24333,0.24333,0.24333,1,0.24333,27-08-1985,AAPL,0
0.24333,0.24588,0.24333,1,0.24333,28-08-1985,AAPL,0
0.24333,0.24333,0.2369,1,0.2369,29-08-1985,AAPL,0
0.23949,0.23949,0.23949,1,0.23949,30-08-1985,AAPL,0
0.23949,0.23949,0.23564,1,0.23564,03-09-1985,AAPL,0
0.2369,0.24202,0.2369,1,0.2369,04-09-1985,AAPL,0
0.2369,0.23949,0.2369,1,0.2369,05-09-1985,AAPL,0
0.23949,0.23949,0.23949,1,0.23949,06-09-1985,AAPL,0
0.24333,0.24588,0.24333,1,0.24333,09-09-1985,AAPL,0
0.24588,0.24975,0.24588,1,0.24588,10-09-1985,AAPL,0
0.24715,0.24975,0.24715,1,0.24715,11-09-1985,AAPL,0
0.25742,0.25742,0.25742,1,0.25742,12-09-1985,AAPL,0
0.25742,0.25742,0.25228,1,0.25228,13-09-1985,AAPL,0
0.25228,0.25228,0.24333,1,0.24333,16-09-1985,AAPL,0
0.24333,0.24333,0.24333,1,0.24333,17-09-1985,AAPL,0
0.2587,0.2587,0.2587,1,0.2587,18-09-1985,AAPL,0
0.27148,0.27148,0.27148,1,0.27148,19-09-1985,AAPL,0
0.27148,0.27279,0.26768,1,0.26768,20-09-1985,AAPL,0
0.26891,0.27279,0.26891,1,0.26891,23-09-1985,AAPL,0
0.26891,0.27535,0.26381,1,0.26381,24-09-1985,AAPL,0
0.26381,0.26381,0.25355,1,0.25355,25-09-1985,AAPL,0
0.25355,0.2561,0.25355,1,0.25355,26-09-1985,AAPL,0
0.25355,0.2561,0.25355,1,0.25355,27-09-1985,AAPL,0
0.25355,0.2561,0.25228,1,0.25228,30-09-1985,AAPL,0
0.25228,0.25355,0.25228,1,0.25228,01-10-1985,AAPL,0
0.25228,0.25355,0.24975,1,0.24975,02-10-1985,AAPL,0
0.24975,0.24975,0.24715,1,0.24715,03-10-1985,AAPL,0
0.24715,0.24715,0.23949,1,0.23949,04-10-1985,AAPL,0
0.23949,0.24333,0.23949,1,0.23949,07-10-1985,AAPL,0
0.24202,0.24202,0.24202,1,0.24202,08-10-1985,AAPL,0
0.24202,0.24333,0.23949,1,0.23949,09-10-1985,AAPL,0
0.25355,0.2561,0.25355,1,0.25355,10-10-1985,AAPL,0
0.2561,0.2587,0.2561,1,0.2561,11-10-1985,AAPL,0
0.26509,0.26509,0.26509,1,0.26509,14-10-1985,AAPL,0
0.27148,0.27279,0.27148,1,0.27148,15-10-1985,AAPL,0
0.28814,0.28941,0.28814,1,0.28814,16-10-1985,AAPL,0
0.2907,0.30475,0.2907,1,0.2907,17-10-1985,AAPL,0
0.2907,0.29328,0.28299,1,0.28299,18-10-1985,AAPL,0
0.28299,0.28299,0.27535,1,0.27535,21-10-1985,AAPL,0
0.28814,0.2907,0.28814,1,0.28814,22-10-1985,AAPL,0
0.28814,0.2958,0.28814,1,0.28814,23-10-1985,AAPL,0
