Open,High,Low,Volume
0.088542,0.101563,0.088542,1031788800
0.097222,0.102431,0.097222,308160000
0.100694,0.103299,0.100694,133171200
0.102431,0.103299,0.098958,67766400
0.099826,0.100694,0.097222,47894400
0.09809,0.09809,0.094618,58435200
0.095486,0.097222,0.091146,59990400
0.092882,0.092882,0.08941,65289600
0.090278,0.092014,0.08941,32083200
0.092014,0.095486,0.091146,22752000
0.094618,0.096354,0.094618,16848000
0.096354,0.096354,0.09375,12873600
0.095486,0.095486,0.094618,11088000
0.094618,0.097222,0.094618,27014400
0.096354,0.098958,0.096354,23040000
0.096354,0.097222,0.096354,26582400
0.096354,0.097222,0.092882,16560000
0.094618,0.097222,0.094618,10252800
0.095486,0.09809,0.095486,12153600
0.097222,0.098958,0.095486,13881600
0.098958,0.101563,0.098958,17222400
0.099826,0.101563,0.099826,12153600
0.100694,0.100694,0.097222,9302400
0.100694,0.105035,0.099826,31910400
0.104167,0.105035,0.104167,22003200
0.105035,0.105035,0.100694,21628800
0.101563,0.102431,0.098958,22924800
0.101563,0.101563,0.099826,15552000
0.099826,0.100694,0.098958,15609600
0.10026,0.111979,0.099826,62352000
0.111111,0.121962,0.111111,85795200
0.117188,0.118924,0.116319,28886400
0.118056,0.118056,0.113715,30326400
0.114583,0.115451,0.109375,30902400
0.111979,0.111979,0.108507,54345600
0.110243,0.111979,0.109375,20246400
0.110243,0.110243,0.109375,3254400
0.110243,0.111979,0.110243,9734400
0.110243,0.111111,0.108507,5155200
0.110243,0.111111,0.109375,3542400
0.111111,0.111111,0.110243,6076800
0.110243,0.113715,0.110243,10483200
0.111111,0.112847,0.111111,3830400
0.111979,0.111979,0.111111,9302400
0.111111,0.112847,0.111111,3801600
0.111111,0.114583,0.111111,11952000
0.111979,0.111979,0.109375,11001600
0.110243,0.110243,0.108507,61977600
0.109375,0.110243,0.107639,8092800
0.107639,0.108507,0.107639,4406400
0.107639,0.109375,0.107639,4089600
0.107639,0.111111,0.107639,13881600
0.111111,0.114583,0.111111,15523200
0.114583,0.118924,0.113715,45676800
0.118056,0.123264,0.118056,27072000
0.121528,0.121528,0.118056,19728000
0.118056,0.118056,0.116319,5011200
0.118056,0.118924,0.116319,4723200
0.117188,0.118924,0.116319,13708800
0.118924,0.118924,0.117188,3427200
0.118924,0.118924,0.113715,12672000
0.113715,0.113715,0.111979,3427200
0.113715,0.113715,0.111979,2304000
0.113715,0.113715,0.108507,13708800
0.109375,0.110243,0.108507,7891200
0.109375,0.110243,0.107639,9590400
0.109375,0.111979,0.109375,13075200
0.110243,0.110243,0.107639,4348800
0.109375,0.110243,0.107639,8467200
0.108507,0.109375,0.108507,3801600
0.108941,0.110243,0.106771,46195200
0.110243,0.111111,0.108507,14572800
0.109375,0.110243,0.107639,15235200
0.107639,0.108507,0.104167,19152000
0.104167,0.105035,0.102431,10396800
0.103299,0.109375,0.102431,62352000
0.106771,0.106771,0.105903,47577600
0.106771,0.106771,0.105903,52617600
0.107639,0.109375,0.107639,14140800
0.108507,0.108507,0.104167,14054400
0.104167,0.104167,0.100694,14256000
0.101563,0.101563,0.096354,46137600
0.097222,0.09809,0.090278,46886400
0.094618,0.098958,0.094618,17395200
0.094618,0.09809,0.094618,28598400
0.09592,0.098958,0.094618,13190400
0.09809,0.100694,0.09809,9360000
0.100694,0.102431,0.099826,6940800
0.102431,0.104167,0.099826,12326400
0.103299,0.105035,0.103299,3513600
0.103299,0.106771,0.103299,10512000
0.106771,0.108507,0.104167,20793600
